case_id,tooth_id,total_expected,total_present,ratio,ratio_floor,margin_floor,margin_p20,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
003,t16,12,12,1.0,0.7,0.55,0.5002246499061584,0.5011714100837708,0.25,,True,False,margin
003,t17,12,12,1.0,0.7,0.55,0.5004238486289978,0.5010097622871399,0.25,,True,False,margin
003,t21,7,7,1.0,0.7,0.55,0.5001822113990784,0.5008153915405273,0.25,,True,False,margin
003,t22,7,7,1.0,0.7,0.55,0.5003060102462769,0.5006383657455444,0.25,,True,False,margin
003,t23,5,5,1.0,0.7,0.55,0.5007595419883728,0.501508355140686,0.25,,True,False,margin
003,t24,9,9,1.0,0.7,0.55,0.5007770657539368,0.5015986561775208,0.25,,True,False,margin
003,t25,9,9,1.0,0.7,0.55,0.5004103779792786,0.5010427832603455,0.25,,True,False,margin
003,t26,12,12,1.0,0.7,0.55,0.5002325177192688,0.5009800791740417,0.25,,True,False,margin
003,t27,12,12,1.0,0.6,0.48,0.5004797577857971,0.5011026859283447,0.25,,False,False,
003,t31,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t32,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t33,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t34,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t35,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t36,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t37,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
003,t41,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t42,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t43,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t44,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t45,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t46,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
003,t47,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
004,t11,7,7,1.0,0.7,0.55,0.500143826007843,0.5005612969398499,0.25,,True,False,margin
004,t12,7,7,1.0,0.7,0.55,0.5006704330444336,0.5015270113945007,0.25,,True,False,margin
004,t13,5,5,1.0,0.7,0.55,0.5002238154411316,0.5014151334762573,0.25,,True,False,margin
004,t14,9,9,1.0,0.7,0.55,0.5005388855934143,0.5011267066001892,0.25,,True,False,margin
004,t15,9,9,1.0,0.7,0.55,0.5003803372383118,0.5010420680046082,0.25,,True,False,margin
004,t16,12,12,1.0,0.7,0.55,0.5003591179847717,0.5013591647148132,0.25,,True,False,margin
004,t17,12,12,1.0,0.7,0.55,0.5003852844238281,0.5006117820739746,0.25,,True,False,margin
004,t21,7,7,1.0,0.7,0.55,0.5005896687507629,0.5019474625587463,0.25,,True,False,margin
004,t22,7,7,1.0,0.7,0.55,0.5013881325721741,0.5016189813613892,0.25,,True,False,margin
004,t23,5,5,1.0,0.7,0.55,0.5011274814605713,0.5022432208061218,0.25,,True,False,margin
004,t24,9,9,1.0,0.7,0.55,0.5006367564201355,0.5011733770370483,0.25,,True,False,margin
004,t25,9,9,1.0,0.7,0.55,0.5001596212387085,0.5006530284881592,0.25,,True,False,margin
004,t26,12,12,1.0,0.7,0.55,0.500839114189148,0.5015713572502136,0.25,,True,False,margin
004,t27,12,11,0.9166666666666666,0.6,0.48,0.5003610253334045,0.5009094476699829,0.25,,False,False,
004,t31,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t32,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t33,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t34,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t35,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t36,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t37,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
004,t41,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t42,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t43,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t44,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t45,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t46,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
004,t47,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
005,t11,7,7,1.0,0.7,0.55,0.5001283884048462,0.5006985664367676,0.25,,True,False,margin
005,t12,7,7,1.0,0.7,0.55,0.5002151727676392,0.500494658946991,0.25,,True,False,margin
005,t13,5,5,1.0,0.7,0.55,0.5002472996711731,0.5006588697433472,0.25,,True,False,margin
005,t14,9,9,1.0,0.7,0.55,0.5001208186149597,0.5009609460830688,0.25,,True,False,margin
005,t15,9,9,1.0,0.7,0.55,0.50013667345047,0.500565230846405,0.25,,True,False,margin
005,t16,12,12,1.0,0.7,0.55,0.5005730986595154,0.5012653470039368,0.25,,True,False,margin
005,t17,12,12,1.0,0.7,0.55,0.5001112222671509,0.5004353523254395,0.25,,True,False,margin
005,t21,7,7,1.0,0.7,0.55,0.5003077387809753,0.5007795095443726,0.25,,True,False,margin
005,t22,7,7,1.0,0.7,0.55,0.5001338720321655,0.5018349885940552,0.25,,True,False,margin
005,t23,5,5,1.0,0.7,0.55,0.500476062297821,0.5012928247451782,0.25,,True,False,margin
005,t24,9,9,1.0,0.7,0.55,0.5004353523254395,0.5011530518531799,0.25,,True,False,margin
005,t25,9,9,1.0,0.7,0.55,0.5006321668624878,0.5015023350715637,0.25,,True,False,margin
005,t26,12,12,1.0,0.7,0.55,0.5000604391098022,0.5006882548332214,0.25,,True,False,margin
005,t27,12,12,1.0,0.6,0.48,0.5003253817558289,0.501399576663971,0.25,,False,False,
005,t31,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t32,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t33,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t34,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
