epoch,train_loss,val_loss,val_dsc,val_dsc_perm,lr
1,1.8313279608885447,1.811702513694763,0.3273582788522207,0.35009597951855764,0.001
2,1.6016861120859782,1.7175996820131938,0.369945662981167,0.3668599047839161,0.0009046039886902864
3,1.499769675731659,1.564131247997284,0.4562061601679252,0.4877106775538123,0.0006548539886902863
4,1.3877514044443766,1.3137118339538574,0.5885105450530349,0.5517286359873609,0.0003461460113097138
5,1.3116353968779246,1.272750695546468,0.5940274994660754,0.5569007807495844,9.639601130971379e-05
