epoch,train_loss,val_loss,val_dsc,lr
1,3.981863576173782,3.445740222930908,0.01747021621283209,0.001
2,2.6315547039111453,2.4890268087387084,0.06340862291609722,0.0009999383779245895
3,2.3852495114008585,2.4523399194081623,0.07417253656231404,0.000999753526902683
4,2.108879373470942,2.608648439248403,0.10676819323706702,0.0009994454925435043
5,1.861873495578766,2.3747368852297464,0.1766675351694642,0.000999014350849922
6,1.6874500870704652,2.602152582009633,0.12600208873307853,0.0009984602081996978
7,1.5135414679845174,4.784038321177165,0.19740701399187766,0.0009977832013192388
8,1.3213478446006774,2.0465223530928296,0.3180029273198969,0.0009969834972498627
9,1.1979624996582667,1.9461923837661743,0.31679226384849385,0.000996061293306582
10,1.0471827621261278,2.5771406730016073,0.21520950391976035,0.0009950168170294207
11,0.9536054082214832,2.4550599654515586,0.29841168969075127,0.0009938503261272716
12,0.9166108667850494,1.6475482026735941,0.40131332299592914,0.0009925621084143099
13,0.8130445696413517,1.9734269420305888,0.4474833044552192,0.0009911524817389804
14,0.8029267775515715,2.3703886310259503,0.347834464225235,0.0009896217939055723
15,0.7500434825817744,2.263982673486074,0.2928308390485389,0.0009879704225884047
16,0.7328234533468883,1.3866217146317164,0.5311578799008386,0.0009861987752386398
17,0.7010730882485707,3.800545032819112,0.32211196747981086,0.0009843072889837514
18,0.6681775306661923,2.373699551820755,0.2818795547653014,0.0009822964305196704
19,0.6324935932954152,1.2293301145235698,0.47694668985481165,0.0009801666959956333
20,0.6334558362762134,2.9761312127113344,0.34122514526463404,0.0009779186108917661
21,0.5909994229674339,1.077857114871343,0.5507802845148778,0.0009755527298894296
22,0.5752964749932289,1.9220373034477234,0.46986037245762136,0.0009730696367343592
23,0.557998030881087,1.9201592445373534,0.45053725291957414,0.0009704699440926359
24,0.5805116387705008,1.1489773531754812,0.508204437983834,0.0009677542933995191
25,0.5584722766031821,0.9390893201033275,0.599006109116989,0.0009649233547011819
26,0.551842266942064,2.391229812304179,0.4041537791436132,0.000961977826489388
27,0.5141133019079764,2.019747855265935,0.47281390451950506,0.0009589184355291488
28,0.506702450538675,1.4367856830358505,0.5609028889461588,0.0009557459366794051
29,0.5269830539822579,1.710732987523079,0.5334876449954244,0.000952461112706777
30,0.4859164096415043,1.9560579717159272,0.5340231635184436,0.0009490647740924278
31,0.5235966563224792,1.2874096930027008,0.5169408066600967,0.00094555775883209
32,0.45898266273240246,1.3798219084739685,0.5359100946301298,0.0009419409322293028
33,0.47831474281847475,1.2371076504389444,0.5220372573151526,0.0009382151866819101
34,0.4506295857330163,0.8907066136598587,0.628583148109169,0.0009343814414618769
35,0.4576359132925669,1.5871463278929392,0.5157581521216156,0.0009304406424884702
36,0.43945403036971886,1.0551182091236115,0.5898946332049091,0.0009263937620948695
