epoch,train_loss,val_loss,val_dsc,val_dsc_perm,val_sen,val_ppv,lr
1,2.622944,3.015149,0.027959,0.027959,0.066667,0.017689,1.000000e-02
10,0.397043,0.720222,0.985353,0.985353,0.984369,0.986683,1.000000e-02
