case_id,tooth_id,total_expected,total_present,min_valid,margin_floor,margin_min,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
003,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
003,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
003,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
004,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
004,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
004,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
004,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
005,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
005,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
005,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
005,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
006,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
006,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
006,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
006,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
007,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
007,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
